id;first_name;last_name;start_date;sales_outlet_id;position_id
1;Cedric;Hawick;21.03.2017;62;3
2;Kerby;Gotts;31.10.2017;14;4
3;Anetta;Lamping;19.04.2018;15;4
4;Arv;Simoes;17.07.2004;75;1
5;Inez;Degenhardt;17.07.2002;17;4
6;Marchelle;Joscelyn;14.12.2016;53;4
7;Karissa;Bellsham;10.11.2013;82;5
8;Anthiathia;Chiese;04.01.2007;17;5
9;Dewie;Glyssanne;26.03.2010;58;5
10;Alysa;Axe;06.12.2001;56;5
11;Randell;Matthis;21.01.2007;91;3
12;Robert;Philot;25.03.2010;70;5
13;Dell;Swanborrow;11.07.2006;8;2
14;August;Torrecilla;02.10.2015;50;4
15;Britt;Nicholls;30.01.2007;15;4
16;Gerrilee;Brende;22.06.2006;1;5
17;Jacinda;Sinnatt;29.09.2012;65;4
18;Franchot;Proffer;11.08.2003;17;5
19;Lammond;Warlock;27.05.2006;70;4
20;Mari;March;12.11.2004;25;1
21;Caz;Granham;24.06.2011;65;3
22;Lynsey;Piatkowski;10.06.2003;70;3
23;Edgar;McInnerny;10.04.2013;51;3
24;Saraann;Fritschmann;27.06.2005;67;2
25;Cordi;Roizn;15.08.2001;95;3
26;Happy;Ballance;24.01.2002;70;2
27;Vito;Meffan;23.10.2001;59;5
28;Lyndel;Aucourte;02.05.2019;67;3
29;Sonnnie;Finnan;09.08.2017;83;4
30;Major;Featherstone;02.09.2019;16;4
31;Belia;Von Der Empten;05.08.2016;35;3
32;Sharleen;Rottcher;25.10.2004;85;5
33;Chance;Pycock;07.03.2005;86;4
34;Selia;Crowden;07.07.2013;0;5
35;Jeffy;Brisard;01.01.2017;57;5
36;Gladi;Cadle;21.10.2004;30;5
37;Myrvyn;Fowgies;05.02.2003;1;1
38;Nerissa;Dello;08.03.2014;34;5
39;Brianna;Inold;06.08.2008;52;4
40;Mendy;Lethbrig;20.08.2010;32;5
41;Gerhard;Grono;25.03.2010;93;5
42;Bradley;Sammon;13.11.2000;9;5
43;Kelsey;Storrier;10.01.2004;36;5
44;Sergio;Weyland;27.08.2008;75;1
45;Adamo;Augie;18.08.2010;44;4
46;Amii;Hallede;01.04.2001;87;5
47;Bobbye;Danzig;13.04.2018;72;2
48;Kain;MacKenny;05.10.2004;36;5
49;Dominik;Weavers;23.01.2017;77;5
50;Beale;Barthrop;28.03.2004;89;5
51;Lorry;Povah;08.08.2016;98;4
52;Bradley;Whitlock;10.12.2001;4;5
53;Matias;Leinster;25.08.2001;46;2
54;Berny;Guinness;17.11.2004;27;3
55;Allianora;Hachard;07.07.2014;65;5
56;Berty;Collough;16.10.2014;14;4
57;Davida;Theuff;06.01.2006;91;3
58;Jerome;Mulvey;10.02.2015;7;5
59;Cinnamon;Extill;14.07.2018;90;5
60;Sheppard;Dorling;25.03.2003;30;3
61;Doralynn;Lansdale;29.01.2005;68;5
62;Theresita;Stanyon;13.05.2017;72;4
63;Errick;Iorio;05.08.2006;21;5
64;Binky;Yoxen;01.10.2016;71;1
65;Jamaal;Hammerton;24.07.2016;55;1
